 INFO  Accepting connections at http://localhost:4173
 HTTP  29/05/2026 09:05:02 ::1 GET /__next._tree.txt?_rsc=HtJZfaS72l2LYOU4
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /explore/__next.explore.__PAGE__.txt?_rsc=fZiDm5o8jPa9_CDf
 HTTP  29/05/2026 09:05:02 ::1 Returned 404 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /settings/__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /settings/__next.settings.txt?_rsc=inPrx42KFQK9Nk_J
 HTTP  29/05/2026 09:05:02 ::1 GET /settings/__next.settings.__PAGE__.txt?_rsc=nob_XKw8eV00q2MJ
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /messages/__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 Returned 404 in 7 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /messages/__next.messages.txt?_rsc=utlfIbvEOys8cTfq
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /messages/__next.messages.__PAGE__.txt?_rsc=KEZay2udyDu9KoyW
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /notifications/__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 Returned 404 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /notifications/__next.notifications.txt?_rsc=AwxITcdwGjlx-xVz
 HTTP  29/05/2026 09:05:02 ::1 GET /notifications/__next.notifications.__PAGE__.txt?_rsc=gOEi4OMKTkUYauWN
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 404 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /feed/__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 1 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /feed/__next.feed.txt?_rsc=4q6IIuGrV4EyZNfP
 HTTP  29/05/2026 09:05:02 ::1 GET /feed/__next.feed.__PAGE__.txt?_rsc=mq8Qexo8__kC0yYy
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 404 in 9 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /__next.__PAGE__.txt?_rsc=U3VpbA1haz5ydo8L
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 1 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/10in5aw-kpnw5.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:03 ::1 GET /feed/
 HTTP  29/05/2026 09:05:03 ::1 Returned 200 in 9 ms
 HTTP  29/05/2026 09:05:03 ::1 GET /_next/static/media/70bc3e132a0a741e-s.p.1409xf.ylxg8g.woff2
 HTTP  29/05/2026 09:05:03 ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
